TCNumber;origin;destination;type;outboundDate;inboundDate;outbound;inbound;flightCarrierOutbound;flightCarrierInbound;flightNumberOutbound;flightNumberInbound;adult;child;infant;junior
TC#1;POS;JFK;OW;$RNDDATE(15,20);$RNDDATE(25,30);EC;EC;$none;$none;$none;$none;1;0;0;0
TC#2;POS;JFK;RT;$RNDDATE(15,20);$RNDDATE(25,30);EC;EC;$none;$none;$none;$none;1;0;0;0
TC#3;SLU;JFK;OW;$RNDDATE(15,20);$RNDDATE(25,30);ER;ER;$none;$none;$none;$none;1;0;0;0
TC#4;SLU;JFK;RT;$RNDDATE(15,20);$RNDDATE(25,30);ER;ER;$none;$none;$none;$none;1;0;0;0
TC#5;POS;JFK;OW;$RNDDATE(15,20);$RNDDATE(25,30);BR;BR;$none;$none;$none;$none;$RNDINT(2,4);0;0;0
TC#6;POS;JFK;RT;$RNDDATE(15,20);$RNDDATE(25,30);BR;BR;$none;$none;$none;$none;$RNDINT(2,4);0;0;0
TC#7;SLU;JFK;OW;$RNDDATE(15,20);$RNDDATE(25,30);EF;EF;$none;$none;$none;$none;$RNDINT(2,4);0;0;0
TC#8;SLU;JFK;RT;$RNDDATE(15,20);$RNDDATE(25,30);EF;EF;$none;$none;$none;$none;$RNDINT(2,4);0;0;0
#TC#9;POS;JFK;OW;$RNDDATE(15,20);$RNDDATE(25,30);BF;BF;$none;$none;$none;$none;1;1;0;0
#TC#10;POS;JFK;RT;$RNDDATE(15,20);$RNDDATE(25,30);BF;BF;$none;$none;$none;$none;1;1;0;0
#TC#11;SLU;JFK;OW;$RNDDATE(15,20);$RNDDATE(25,30);EC;EC;$none;$none;$none;$none;1;1;0;0
#TC#12;SLU;JFK;RT;$RNDDATE(15,20);$RNDDATE(25,30);EC;EC;$none;$none;$none;$none;1;1;0;0
#TC#13;POS;JFK;OW;$RNDDATE(15,20);$RNDDATE(25,30);ER;ER;$none;$none;$none;$none;$RNDINT(2,4);$RNDINT(2,3);0;0
#TC#14;POS;JFK;OW;$RNDDATE(15,20);$RNDDATE(25,30);ER;ER;$none;$none;$none;$none;$RNDINT(2,4);$RNDINT(2,3);0;0
#TC#15;SLU;JFK;OW;$RNDDATE(15,20);$RNDDATE(25,30);BR;BR;$none;$none;$none;$none;$RNDINT(2,4);$RNDINT(2,3);0;0
#TC#16;SLU;JFK;RT;$RNDDATE(15,20);$RNDDATE(25,30);BR;BR;$none;$none;$none;$none;$RNDINT(2,4);$RNDINT(2,3);0;0
#TC#17;POS;JFK;OW;$RNDDATE(15,20);$RNDDATE(25,30);EF;EF;$none;$none;$none;$none;1;0;1;0
